step	train/loss
0	1275946240.0
1	1130414336.0
2	806903680.0
3	580735552.0
4	433768416.0
5	325126912.0
6	240057248.0
7	176215584.0
8	129220360.0
9	94717416.0
10	69296200.0
11	50758132.0
12	37270920.0
13	27519116.0
14	20588570.0
15	15696129.0
16	12462585.0
17	10197048.0
18	8649621.0
19	7705234.5
20	6983569.5
21	6629051.0
22	6320931.0
23	6181401.5
24	5968315.5
25	5800842.5
26	5723489.5
27	5611861.0
28	5566214.0
29	5513360.5
30	5433927.5
31	5350835.0
32	5290985.5
33	5206062.0
34	5167151.5
35	5105295.0
36	5035816.0
37	4995620.5
38	4942213.0
39	4904147.0
40	4879016.0
41	4817077.5
42	4769075.0
43	4777947.0
44	4746622.5
45	4663604.0
46	4631988.0
47	4634171.0
48	4536565.0
49	4558800.5
50	4502764.0
51	4518366.0
52	4430920.5
53	4424571.5
54	4412325.5
55	4402649.5
56	4346509.5
57	4347112.5
58	4321622.5
59	4307753.0
60	4267861.0
61	4232403.0
62	4223532.5
63	4195285.5
64	4200509.0
65	4160661.75
66	4135429.5
67	4128760.25
68	4102470.25
69	4091875.0
70	4039070.75
71	4020065.25
72	4045932.25
73	4034983.75
74	4024451.5
75	3976694.5
76	3947237.0
77	3935790.75
78	3961597.5
79	3954059.5
80	3925978.75
81	3902726.5
82	3872825.25
83	3904910.5
84	3865246.0
85	3874513.25
86	3785235.75
87	3827633.25
88	3820589.75
89	3757943.5
90	3801196.25
91	3794255.25
92	3792432.25
93	3746998.25
94	3745321.5
95	3744821.0
96	3750817.75
97	3728920.0
98	3710296.25
99	3702804.0
100	3719946.25
101	3685262.25
102	3720765.25
103	3675736.25
104	3688470.75
105	3691339.0
106	3654153.0
107	3653825.5
108	3657401.75
109	3647395.0
110	3664848.5
111	3641426.5
112	3613099.25
113	3641476.25
114	3641607.75
115	3621788.25
116	3645300.5
117	3599226.5
118	3595769.5
119	3610889.0
120	3590547.0
121	3611116.75
122	3590945.75
123	3562432.75
124	3573428.5
125	3619027.0
126	3557840.25
127	3565503.75
128	3561550.0
129	3554203.0
130	3523470.75
131	3541174.75
132	3531253.75
133	3540928.75
134	3553384.0
135	3534509.5
136	3517543.75
137	3516192.25
138	3503351.75
139	3515800.5
140	3526377.0
141	3513536.0
142	3492285.0
143	3512013.25
144	3509525.0
145	3514164.75
146	3511714.0
147	3495071.0
148	3485592.0
149	3494588.75
