step	train/mean_absolute_error
0	35757.07421875
1	35086.9609375
2	32522.806640625
3	27694.986328125
4	22400.35546875
5	19036.482421875
6	17091.212890625
7	16958.83984375
8	17983.2734375
9	16287.1923828125
10	11203.4697265625
11	8438.3984375
12	5973.42431640625
13	3128.4111328125
14	2152.500732421875
15	1967.5650634765625
16	1934.9248046875
17	1936.4903564453125
18	1904.9700927734375
19	1890.1287841796875
20	1876.1015625
21	1870.28759765625
22	1863.3309326171875
23	1850.2437744140625
24	1833.4674072265625
25	1832.6051025390625
26	1826.1529541015625
27	1815.876220703125
28	1802.590087890625
29	1810.11669921875
30	1805.0474853515625
31	1806.484130859375
32	1775.57861328125
33	1782.7767333984375
34	1766.9600830078125
35	1779.477783203125
36	1765.00830078125
37	1771.772216796875
38	1759.9080810546875
39	1771.208984375
40	1759.7547607421875
41	1740.6446533203125
42	1742.8397216796875
43	1737.1883544921875
44	1729.4774169921875
45	1732.3409423828125
46	1706.9136962890625
47	1725.332275390625
48	1725.482421875
49	1696.330322265625
50	1704.3463134765625
51	1697.7774658203125
52	1690.1536865234375
53	1685.8521728515625
54	1681.437255859375
55	1692.9010009765625
56	1681.1846923828125
57	1681.68505859375
58	1658.9066162109375
59	1663.7843017578125
60	1669.72802734375
61	1649.8323974609375
62	1654.45166015625
63	1656.421630859375
64	1653.7008056640625
65	1650.3016357421875
66	1637.4615478515625
67	1642.952880859375
68	1633.2044677734375
69	1645.8648681640625
70	1645.418212890625
71	1622.3004150390625
72	1631.862548828125
73	1624.7816162109375
74	1621.51123046875
75	1613.452392578125
76	1605.376953125
77	1619.848876953125
78	1612.9102783203125
79	1610.67041015625
80	1607.2506103515625
81	1607.7786865234375
82	1599.2562255859375
83	1606.085205078125
84	1598.495849609375
85	1592.4969482421875
86	1596.581787109375
87	1580.3031005859375
88	1593.76708984375
89	1591.966552734375
90	1584.880859375
91	1577.23779296875
92	1578.1524658203125
93	1586.42919921875
94	1589.498046875
95	1573.139404296875
96	1569.6317138671875
97	1566.2762451171875
98	1560.998779296875
99	1571.82177734375
100	1572.291015625
101	1564.7020263671875
102	1560.224609375
103	1557.3934326171875
104	1551.2786865234375
105	1550.196044921875
106	1552.3419189453125
107	1566.1644287109375
108	1552.0694580078125
109	1539.47509765625
110	1539.2757568359375
111	1546.7620849609375
112	1556.5279541015625
113	1542.685791015625
114	1543.90576171875
115	1544.98779296875
116	1531.4764404296875
117	1537.104736328125
118	1536.920166015625
119	1536.1279296875
120	1532.4085693359375
121	1535.74560546875
122	1529.25634765625
123	1536.318115234375
124	1531.2327880859375
125	1530.1690673828125
126	1523.4788818359375
127	1525.516357421875
128	1533.058349609375
129	1522.6488037109375
130	1512.8321533203125
131	1532.1083984375
132	1518.3140869140625
133	1517.4749755859375
134	1518.1322021484375
135	1510.9483642578125
136	1515.94970703125
137	1505.0076904296875
138	1519.427490234375
139	1508.1546630859375
140	1501.2176513671875
141	1529.63134765625
142	1501.3089599609375
143	1494.2791748046875
144	1502.8150634765625
145	1494.7747802734375
146	1504.8480224609375
147	1507.6265869140625
148	1502.0911865234375
149	1497.375
