step	train/root_mean_squared_error
0	34092.76953125
1	20089.61328125
2	3074.627685546875
3	2585.260986328125
4	2505.27783203125
5	2453.644775390625
6	2417.164306640625
7	2388.942138671875
8	2366.297607421875
9	2347.602783203125
10	2331.799072265625
11	2318.173828125
12	2306.234130859375
13	2295.631591796875
14	2286.11376953125
15	2277.49169921875
16	2269.621337890625
17	2262.389892578125
18	2255.70654296875
19	2249.495849609375
20	2243.6962890625
21	2238.254150390625
22	2233.124267578125
23	2228.2666015625
24	2223.646728515625
25	2219.235107421875
26	2215.003662109375
27	2210.92919921875
28	2206.9892578125
29	2203.16455078125
30	2199.43701171875
31	2195.7890625
32	2192.20556640625
33	2188.671142578125
34	2185.171142578125
35	2181.69140625
36	2178.216552734375
37	2174.732666015625
38	2171.2236328125
39	2167.673828125
40	2164.06396484375
41	2160.375244140625
42	2156.58447265625
43	2152.6650390625
44	2148.58642578125
45	2144.310546875
46	2139.79345703125
47	2134.982177734375
48	2129.815673828125
49	2124.22607421875
50	2118.152099609375
51	2111.556884765625
52	2104.458740234375
53	2096.955322265625
54	2089.190673828125
55	2081.27197265625
56	2073.228759765625
57	2065.049072265625
58	2056.721435546875
59	2048.25634765625
60	2039.6905517578125
61	2031.0714111328125
62	2022.44482421875
63	2013.8472900390625
64	2005.3043212890625
65	1996.83154296875
66	1988.4368896484375
67	1980.1234130859375
68	1971.891845703125
69	1963.7437744140625
70	1955.6806640625
71	1947.7060546875
72	1939.82421875
73	1932.039794921875
74	1924.3564453125
75	1916.7777099609375
76	1909.303955078125
77	1901.933837890625
78	1894.6640625
79	1887.488037109375
80	1880.3984375
81	1873.3857421875
82	1866.4420166015625
83	1859.5594482421875
84	1852.7354736328125
85	1845.97265625
86	1839.282958984375
87	1832.6883544921875
88	1826.22216796875
89	1819.929931640625
90	1813.8619384765625
91	1808.0684814453125
92	1802.5880126953125
93	1797.4339599609375
94	1792.5858154296875
95	1787.9761962890625
96	1783.481689453125
97	1778.9091796875
98	1774.0279541015625
99	1768.8121337890625
100	1763.8701171875
